Step,0,1,2,3,4,5,6,7,,,,,,,,,,
118,6.55E-12,6.56E-12,6.94E-12,6.58E-12,5.87E-12,6.94E-12,4.90E-10,6.07276E-05,,,,,,,,,,
119,8.00E-12,6.02E-12,6.62E-12,7.63E-12,7.89E-12,6.94E-12,4.85E-10,5.89987E-05,,,,,,,,,,
120,6.94E-12,6.90E-12,7.31E-12,5.37E-12,6.62E-12,6.11E-12,4.97E-10,5.46013E-05,,,,,,,,,,
121,7.40E-12,6.49E-12,7.78E-12,6.37E-12,6.38E-12,7.29E-12,4.88E-10,5.56573E-05,,,,,,,,,,
122,7.06E-12,6.89E-12,6.99E-12,8.17E-12,7.18E-12,6.88E-12,4.91E-10,36.47071838,,,,,,,,,,
123,8.20E-12,6.59E-12,7.08E-12,6.21E-12,7.28E-12,6.87E-12,4.82E-10,5.3591E-05,,,,,,,,,,
124,6.96E-12,6.47E-12,6.60E-12,7.62E-12,6.29E-12,7.41E-12,4.67E-10,5.58421E-05,,,,,,,,,,
125,7.04E-12,7.04E-12,6.06E-12,6.78E-12,6.79E-12,6.28E-12,4.88E-10,5.55674E-05,,,,,,,,,,
126,6.87E-12,8.61E-12,6.34E-12,7.50E-12,6.42E-12,6.75E-12,5.45E-10,5.32915E-05,,,,,,,,,,
127,6.80E-12,7.08E-12,6.80E-12,6.97E-12,6.49E-12,7.54E-12,4.86E-10,5.22638E-05,,,,,,,,,,
128,7.29E-12,7.19E-12,6.78E-12,6.91E-12,6.01E-12,6.41E-12,4.94E-10,5.3862E-05,,,,,,,,,,
129,7.13E-12,7.42E-12,5.66E-12,7.21E-12,7.45E-12,5.78E-12,4.30E-10,5.26317E-05,,,,,,,,,,
130,6.47E-12,7.77E-12,6.88E-12,6.46E-12,6.05E-12,6.73E-12,5.09E-10,5.11476E-05,,,,,,,,,,
131,6.45E-12,5.71E-12,6.38E-12,7.47E-12,6.31E-12,6.19E-12,2.56E-10,4.08819E-05,,,,,,,,,,
132,6.70E-12,6.33E-12,6.48E-12,7.44E-12,6.14E-12,6.41E-12,2.41E-10,4.13052E-05,,,,,,,,,,
133,7.49E-12,8.01E-12,8.53E-12,6.79E-12,7.02E-12,7.33E-12,2.49E-10,4.27308E-05,,,,,,,,,,
134,6.84E-12,5.78E-12,7.12E-12,5.88E-12,7.64E-12,7.48E-12,2.48E-10,4.33393E-05,,,,,,,,,,
135,8.18E-12,7.24E-12,6.18E-12,7.34E-12,7.51E-12,6.80E-12,2.24E-10,3.95078E-05,,,,,,,,,,
136,5.51E-12,8.75E-12,6.50E-12,5.59E-12,7.39E-12,7.96E-12,2.40E-10,3.86611E-05,,,,,,,,,,
137,6.83E-12,6.47E-12,6.36E-12,7.28E-12,6.25E-12,7.10E-12,2.88E-10,3.58096E-05,,,,,,,,,,
138,6.04E-12,6.67E-12,6.32E-12,7.43E-12,6.46E-12,6.40E-12,2.44E-10,3.39627E-05,,,,,,,,,,
139,6.72E-12,6.70E-12,6.31E-12,6.57E-12,7.52E-12,6.39E-12,2.64E-10,3.26228E-05,,,,,,,,,,
140,7.42E-12,6.78E-12,6.68E-12,6.86E-12,7.30E-12,8.14E-12,2.37E-10,3.65895E-05,,,,,,,,,,
141,6.14E-12,7.50E-12,7.73E-12,7.90E-12,5.43E-12,7.93E-12,2.54E-10,3.55843E-05,,,,,,,,,,
142,7.61E-12,7.65E-12,7.04E-12,6.25E-12,6.97E-12,7.11E-12,2.66E-10,3.41311E-05,,,,,,,,,,
143,7.65E-12,8.03E-12,7.11E-12,7.39E-12,6.59E-12,6.61E-12,2.58E-10,3.42049E-05,,,,,,,,,,
144,7.91E-12,6.71E-12,6.61E-12,8.11E-12,5.02E-12,6.73E-12,2.31E-10,3.13295E-05,,,,,,,,,,
145,7.70E-12,7.53E-12,6.37E-12,6.80E-12,6.93E-12,7.16E-12,2.21E-10,3.07848E-05,,,,,,,,,,
146,6.97E-12,6.98E-12,7.60E-12,6.75E-12,7.42E-12,7.23E-12,2.38E-10,3.16699E-05,,,,,,,,,,
147,7.25E-12,7.62E-12,7.86E-12,8.00E-12,5.74E-12,7.66E-12,2.49E-10,3.00697E-05,,,,,,,,,,
148,8.02E-12,8.01E-12,7.26E-12,6.52E-12,7.38E-12,7.09E-12,2.44E-10,3.02198E-05,,,,,,,,,,
149,6.91E-12,8.21E-12,6.98E-12,6.55E-12,7.60E-12,8.07E-12,2.52E-10,3.05415E-05,,,,,,,,,,
150,8.11E-12,7.20E-12,6.10E-12,6.15E-12,6.65E-12,7.62E-12,2.47E-10,3.02031E-05,,,,,,,,,,
